Invoice;EngineSize;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Length
33.337;3.5;6;265;17;23;4451;106;189
21.761;2;4;200;24;31;2778;101;172
24.647;2.4;4;200;22;29;3230;105;183
30.299;3.2;6;270;20;28;3575;108;186
39.014;3.5;6;225;18;24;3880;115;197
41.1;3.5;6;225;18;24;3893;115;197
79.978;3.2;6;290;17;24;3153;100;174
23.508;1.8;4;170;22;31;3252;104;179
32.506;1.8;4;170;23;30;3638;105;180
28.846;3;6;220;20;28;3462;104;179
30.366;3;6;220;17;26;3583;104;179
31.388;3;6;220;18;25;3627;104;179
33.129;3;6;220;20;27;3561;109;192
35.992;3;6;220;18;25;3880;109;192
38.325;3;6;220;20;27;3814;105;180
40.075;3;6;220;18;25;4013;105;180
38.84;2.7;6;250;18;25;3836;109;192
44.936;4.2;8;300;17;24;4024;109;193
64.74;4.2;8;330;17;24;4399;121;204
43.556;4.2;8;340;14;20;3825;104;179
76.417;4.2;8;450;15;22;4024;109;191
32.512;1.8;4;180;20;28;3131;95;159
33.891;1.8;4;225;20;28;2921;96;159
36.739;3.2;6;250;21;29;3351;96;159
37.06;3;6;220;18;25;4035;109;192
44.446;4.2;8;340;15;21;3936;104;179
33.873;3;6;225;16;23;4023;110;180
47.72;4.4;8;325;16;22;4824;111;184
26.155;2.5;6;184;20;29;3219;107;176
28.245;2.5;6;184;20;29;3197;107;177
34.8;2.5;6;184;19;27;3560;107;177
27.745;2.5;6;184;19;27;3461;107;176
32.525;3;6;225;20;30;3285;107;176
33.89;3;6;225;20;30;3285;107;176
34.115;3;6;225;20;29;3483;107;176
36.62;2.5;6;184;19;28;3428;114;191
40.53;3;6;225;19;28;3616;107;177
41.17;3;6;225;20;30;3472;114;191
50.27;4.4;8;325;18;26;3814;114;191
63.19;4.4;8;325;18;26;4376;118;198
66.83;4.4;8;325;18;26;4464;123;204
44.17;3.2;6;333;16;24;3415;108;177
51.815;3.2;6;333;16;23;3781;108;177
31.065;2.5;6;184;20;28;2932;98;161
37.575;3;6;225;21;29;2998;98;161
30.11;2.5;6;184;19;26;3594;107;176
34.357;4.2;6;275;15;21;4600;113;193
24.085;3.4;6;185;19;26;4024;112;187
20.351;3.1;6;175;20;30;3353;109;195
24.282;3.8;6;205;20;29;3567;112;200
22.835;3.8;6;200;20;30;3461;109;196
26.047;3.8;6;240;18;28;3536;109;196
29.566;3.8;6;205;20;29;3591;112;200
32.244;3.8;6;205;20;29;3778;114;207
36.927;3.8;6;240;18;28;3909;114;207
48.377;5.3;8;295;14;18;5367;116;199
43.523;4.6;8;320;16;21;4302;116;195
28.575;3.6;6;255;18;25;3694;113;190
41.65;4.6;8;275;18;26;3984;115;207
46.362;4.6;8;300;18;26;4044;115;207
43.841;4.6;8;275;18;26;3992;112;201
70.546;4.6;8;320;17;25;3647;106;178
48.541;6;8;345;13;17;5879;130;221
37.422;5.3;8;295;14;18;4947;130;219
36.287;5.3;8;295;14;18;5050;116;197
27.479;4.2;6;275;16;21;4425;113;192
19.108;2.5;6;165;19;22;2866;98;163
10.965;1.6;4;103;28;34;2370;98;167
11.802;1.6;4;103;28;34;2348;98;153
13.697;2.2;4;140;26;37;2617;104;183
13.884;2.2;4;140;26;37;2676;104;183
15.357;2.2;4;140;26;37;2617;104;183
20.095;3.4;6;180;21;32;3465;111;200
17.434;2.2;4;145;24;34;3174;106;188
18.639;3.5;6;200;22;30;3297;106;188
20.026;3.4;6;180;21;32;3340;111;198
22.931;3.8;6;200;20;30;3476;111;200
25.672;3.8;6;240;18;28;3606;111;200
21.551;3.5;6;200;23;32;3315;106;188
22.222;3.8;6;200;18;28;3434;111;198
23.954;4.3;6;190;14;17;4605;111;190
24.518;3.4;6;185;19;26;3699;112;187
39.068;5.7;8;350;18;25;3246;105;180
45.193;5.7;8;350;18;25;3248;105;180
31.689;5.3;8;295;14;18;5678;130;222
17.07;2.8;4;175;18;23;3623;111;192
18.48;4.3;6;200;15;21;4142;119;206
35.399;6;8;300;13;17;4804;144;238
39.306;5.3;8;300;16;19;4760;116;191
20.394;3.5;6;200;22;30;3458;112;188
16.919;2.4;4;150;22;29;3101;103;169
20.573;2.4;4;150;22;29;3105;103;169
17.805;2.4;4;150;22;30;3173;108;191
20.284;2.7;6;200;21;28;3222;108;191
27.797;3.5;6;250;18;27;3581;113;198
22.452;2.7;6;200;21;29;3479;113;208
24.909;3.5;6;232;19;27;3548;113;208
24.172;2.4;4;220;21;27;3217;103;169
23.451;2.4;4;150;22;30;3357;106;194
30.884;3.5;6;255;18;27;3650;113;198
28.613;2.7;6;200;21;28;3448;106;194
25.371;3.3;6;180;19;26;4068;119;201
35.063;3.8;6;215;18;25;4331;119;201
32.033;3.2;6;215;17;25;3060;95;160
28.725;3.5;6;250;17;23;4675;116;199
29.472;4.7;8;230;15;21;4987;119;201
12.849;2;4;132;29;36;2581;105;174
14.086;2;4;132;29;36;2626;105;174
20.502;2.7;6;200;21;29;3469;113;204
17.512;2.4;4;150;21;28;3182;108;191
18.821;2.4;4;150;21;28;3175;108;191
23.058;3.5;6;232;18;27;3487;113;204
20.508;2.4;4;150;20;26;3862;113;189
29.812;3.8;6;215;18;25;4440;119;201
74.451;8.3;10;500;12;20;3410;99;176
16.264;3.7;6;210;16;22;3714;112;193
18.67;3.7;6;210;16;22;3829;131;219
18.076;3.7;6;215;16;21;4542;121;208
36.494;6.8;10;310;10;13;7190;137;227
30.468;4.6;8;232;15;19;5000;119;206
26.983;4;6;210;15;20;4463;114;190
20.907;3;6;201;18;23;3346;103;173
12.482;2;4;130;26;33;2612;103;168
12.906;2;4;110;27;36;2606;103;168
14.496;2;4;130;26;33;2606;103;168
14.607;2;4;130;26;33;2691;103;168
17.878;2;4;170;21;28;2750;103;168
18.881;3;6;155;20;27;3306;109;198
20.857;3;6;201;19;26;3313;109;198
22.856;4.6;8;224;17;25;4057;115;212
25.105;4.6;8;224;17;25;4057;115;212
27.756;4.6;8;239;17;25;4057;115;212
24.498;3.9;6;193;17;23;4275;121;201
16.943;3.8;6;193;20;29;3290;101;183
26.875;4.6;8;260;17;25;3347;101;183
34.483;3.9;8;280;17;24;3780;107;186
19.49;4.6;8;231;15;19;4788;126;211
29.405;5.4;8;300;14;18;5464;133;218
13.717;2.3;4;143;24;29;3028;111;188
16.375;2;4;130;26;33;2702;103;178
20.457;3;6;155;19;26;3497;109;198
28.922;4.2;6;275;15;19;4945;129;208
31.361;4.8;8;285;16;19;5042;116;199
40.534;6;8;325;13;17;6133;130;219
23.215;4.3;6;190;16;20;4309;111;190
14.877;2.8;4;175;18;25;3351;111;192
22.604;4.8;8;285;17;20;4548;144;230
25.759;6;8;300;13;18;5440;133;222
23.043;4.3;6;190;15;19;4083;123;208
18.451;1.4;4;93;46;51;2732;103;175
17.911;2;3;73;60;66;1850;95;155
24.843;3.5;6;240;17;22;4387;106;188
18.419;2.4;4;160;21;25;3258;103;179
17.334;2.4;4;160;21;24;3468;101;167
12.175;1.7;4;115;32;38;2432;103;175
12.996;1.7;4;117;36;44;2500;103;175
14.531;1.7;4;115;32;38;2513;103;175
17.924;2.4;4;160;26;34;2994;105;188
20.08;2.4;4;160;26;34;3047;105;188
16.265;1.7;4;127;32;37;2601;103;175
17.849;2;4;160;26;30;2782;101;166
21.428;3;6;240;21;30;3349;108;190
24.304;3;6;240;21;30;3294;105;188
22.498;3.5;6;240;18;25;4310;118;201
24.744;3.5;6;240;18;25;4365;118;201
29.965;2.2;4;240;20;25;2835;95;162
45.815;6;8;316;10;12;6400;123;190
20.201;2.7;6;173;20;26;3549;103;177
10.107;1.6;4;103;29;33;2255;96;167
11.116;1.6;4;103;29;33;2290;96;167
11.209;1.6;4;103;29;33;2339;96;167
12.781;2;4;138;26;34;2635;103;178
14.207;2;4;138;26;34;2635;103;178
14.207;2;4;138;26;34;2698;103;178
17.574;2.7;6;170;19;27;3217;106;187
18.38;2.7;6;170;19;27;3217;106;187
22.055;3.5;6;194;17;26;3651;108;192
23.486;3.5;6;194;17;26;3651;108;192
17.101;2.7;6;172;19;26;3023;100;173
26.157;3.5;6;260;18;26;3336;112;187
27.536;3.5;6;280;18;26;3416;112;182
29.783;3.5;6;260;18;26;3677;112;187
28.32;3.5;6;255;19;26;3306;108;194
38.792;4.5;8;340;17;23;3851;110;197
47.575;4.5;8;340;17;23;3977;113;200
31.756;3.5;6;280;16;22;4056;112;189
33.121;4.5;8;315;15;19;4309;112;189
29.977;4.2;6;275;15;20;4967;129;208
19.261;3.2;6;193;17;21;3836;106;178
27.355;2.5;6;192;18;26;3428;107;184
30.995;3;6;227;18;25;3516;107;184
40.004;3;6;235;18;26;3777;115;192
45.556;4.2;8;294;18;28;3874;115;192
57.499;4.2;8;390;17;24;4046;115;192
62.846;4.2;8;294;18;28;3803;119;200
54.656;4.2;8;294;18;28;3803;119;200
68.306;4.2;8;390;17;24;3948;119;200
63.756;4.2;8;294;18;26;3779;102;187
68.306;4.2;8;294;18;26;3980;102;187
74.676;4.2;8;390;16;23;3865;102;187
79.226;4.2;8;390;16;23;4042;102;187
25.686;4;6;195;16;21;3790;106;181
18.973;2.4;4;150;20;24;3826;104;174
23.275;4;6;190;16;19;3575;93;150
18.63;3.5;6;192;16;19;4112;107;180
14.91;2.4;4;138;23;30;3281;106;186
9.875;1.6;4;104;26;33;2403;95;167
10.705;1.6;4;104;25;32;2458;95;167
11.63;1.8;4;124;24;32;2661;101;178
12.83;1.8;4;124;24;32;2686;101;178
13.79;1.8;4;124;24;32;2697;101;178
16.85;2.7;6;170;20;27;3279;106;186
23.764;3.5;6;195;17;25;4021;110;196
19.4;3.5;6;195;16;22;4802;115;194
11.41;1.6;4;104;26;33;2447;95;167
65.807;4.4;8;282;12;16;5379;113;195
35.777;4.6;8;217;12;16;4576;100;185
23.969;2.5;6;174;18;21;3577;101;175
39.838;4.7;8;235;15;19;4740;110;188
56.455;4.7;8;235;13;17;5590;112;193
34.576;3.3;6;230;18;24;4065;107;186
28.755;3.3;6;225;20;29;3460;107;191
27.404;3;6;215;18;25;3255;105;177
28.611;3;6;215;18;24;3285;105;177
36.196;3;6;220;18;25;3649;110;189
42.232;4.3;8;300;18;23;3715;110;189
48.583;4.3;8;290;18;25;3990;115;197
55.063;4.3;8;300;18;23;3840;103;178
28.647;3;6;215;18;24;3410;105;177
46.36;5.4;8;300;13;18;5969;119;206
39.443;4.6;8;302;13;18;4834;114;193
29.969;3;6;232;20;26;3681;115;194
33.929;3;6;232;20;26;3681;115;194
36.809;3.9;8;280;17;24;3768;115;194
39.869;3.9;8;280;17;24;3768;115;194
38.418;4.6;8;239;17;25;4369;118;215
41.217;4.6;8;239;17;25;4369;118;215
46.208;4.6;8;239;17;25;4474;124;221
15.437;1.6;4;115;28;37;2524;97;143
18.137;1.6;4;163;25;34;2678;97;144
19.742;2;4;130;22;25;3091;103;173
14.525;2;4;148;26;34;2696;104;178
15.922;2.3;4;160;25;31;2762;104;179
17.817;2.3;4;160;24;32;3042;105;187
26.6;3;6;200;18;25;3812;112;188
20.701;1.8;4;142;23;28;2387;89;156
23.285;1.8;4;142;23;28;2387;89;156
23.794;1.3;;197;18;25;3053;106;174
25.179;1.3;;238;18;24;3029;106;174
14.07;2.3;4;143;24;29;2960;112;188
20.482;4;6;207;15;19;3571;126;203
71.54;5;8;292;13;14;5423;112;186
43.268;5;8;288;14;17;4874;111;183
24.249;1.8;4;189;22;30;3250;107;178
26.435;3.2;6;215;19;26;3430;107;178
30.071;2.6;6;168;20;25;3360;107;178
31.187;2.6;6;168;19;25;3360;107;178
33.456;3.2;6;215;19;26;3430;107;178
35.046;3.2;6;215;20;26;3450;107;178
36.162;3.2;6;215;19;27;3450;107;178
48.522;3.2;6;349;16;21;3540;107;178
88.324;5;8;302;16;24;4085;114;196
119.6;5.5;12;493;13;19;4473;114;196
41.966;3.2;6;215;20;26;3770;107;183
49.104;5;8;302;17;22;3585;107;183
44.849;3.2;6;221;19;27;3635;112;190
53.382;5;8;302;16;20;3815;112;190
69.168;4.3;8;275;18;26;4160;122;203
80.939;5;8;302;16;24;4390;122;203
84.325;5;8;302;16;23;4065;101;179
113.388;5.5;8;493;14;21;4235;101;179
117.854;5.5;12;493;13;19;4429;101;179
37.548;2.3;4;192;21;29;3055;95;158
52.289;3.2;6;349;17;22;3220;95;158
31.466;2.6;6;168;19;25;3470;107;179
47.174;3.2;6;221;19;27;3966;112;190
56.474;5;8;302;16;24;4230;112;190
27.317;4;6;210;16;21;4374;114;190
19.848;3;6;155;20;27;3308;109;200
23.217;4.6;8;224;17;25;4052;115;212
27.148;4.6;8;224;17;25;4052;115;212
21.918;3;6;201;19;26;3315;109;200
28.318;4.6;8;224;17;25;4052;115;212
31.558;4.6;8;302;17;23;4195;115;212
30.846;4.2;6;201;16;23;4340;121;202
20.748;3;6;155;19;26;3488;109;198
28.33;3.8;6;215;17;21;4134;109;190
30.763;3.8;6;215;15;19;4718;110;190
17.569;2.4;4;160;21;27;3240;103;179
13.751;2;4;120;25;31;2656;102;181
15.718;2;4;120;25;31;2795;102;181
17.957;2.4;4;160;23;30;3351;108;191
16.196;2;4;120;25;31;2744;102;181
27.25;3.5;6;205;18;25;3549;107;194
23.883;3.8;6;230;18;26;3649;108;191
23.456;3;6;210;21;28;3241;101;177
25.218;3;6;210;21;28;3296;101;177
27.466;2;4;271;18;26;3263;103;179
16.295;2.4;4;160;25;31;3020;102;181
30.815;5.6;8;305;13;19;5013;123;207
25.972;3.5;6;240;16;21;3871;106;183
19.512;3.3;6;180;17;20;3760;104;178
12.205;1.8;4;126;28;35;2513;100;178
13.747;1.8;4;126;28;35;2581;100;178
18.03;2.5;4;175;21;26;3039;110;192
16.444;2.5;4;165;23;28;2761;100;178
21.58;3.5;6;245;21;26;3197;110;192
25.182;3.5;6;265;20;28;3473;111;194
26.966;3.5;6;265;20;28;3476;111;194
22.958;3.5;6;240;19;26;4012;124;204
30.019;3.5;6;240;18;25;4175;124;204
25.203;3.5;6;287;20;26;3188;104;169
31.845;3.5;6;287;20;26;3428;104;169
18.253;3.3;6;180;17;20;3932;116;191
24.926;5.6;8;305;14;18;5287;140;224
27.3;3.5;6;245;20;25;3801;111;188
17.642;2.2;4;140;24;32;2946;107;187
21.485;3.4;6;170;20;29;3085;107;187
26.12;3.4;6;185;19;26;3948;120;201
19.81;3.4;6;185;19;26;3779;108;182
14.375;2.2;4;140;24;33;2771;104;182
20.595;3.4;6;175;20;29;3118;107;186
20.545;3.8;6;200;20;30;3477;111;198
16.369;2.2;4;140;24;33;2771;104;182
22.284;3.8;6;200;20;30;3484;111;198
32.997;4.6;8;275;17;20;3790;112;203
21.644;3.4;6;185;19;26;3803;112;187
28.454;3.4;6;185;18;24;4431;121;201
30.71;5.7;8;340;16;20;3725;110;190
15.973;1.8;4;130;29;36;2701;102;172
49.865;4.5;8;340;14;18;4950;112;188
69.229;3.6;6;315;18;26;3135;93;175
72.206;3.6;6;315;17;24;3240;93;175
67.128;3.6;6;315;18;26;3119;93;175
173.56;3.6;6;477;17;24;3131;93;175
37.886;2.7;6;228;20;29;2811;95;170
45.766;3.2;6;258;18;26;2911;95;170
29.269;2;4;210;20;28;3175;105;183
31.562;2;4;210;20;28;3175;105;183
33.011;2.3;4;220;21;29;3470;106;190
37.721;2.3;4;250;21;29;3470;106;190
38.52;2;4;210;21;29;3480;105;182
40.883;2;4;210;21;30;3700;105;182
38.376;2.3;4;250;19;29;3620;106;190
19.238;2.2;4;143;21;26;3381;107;181
10.319;2.2;4;140;26;35;2692;103;185
13.393;2.2;4;140;26;35;2692;103;185
14.811;2.2;4;140;26;35;2692;103;185
13.904;2.2;4;140;26;35;2751;103;185
15.299;2.2;4;140;26;35;2751;103;185
19.801;3;6;182;20;28;3197;107;190
21.779;2.2;4;140;24;34;3109;107;190
12.34;1.5;4;108;32;38;2340;93;154
13.48;1.5;4;108;31;35;2425;98;155
18.399;2.5;4;165;22;28;2965;99;174
18.713;2.5;4;165;21;28;3285;104;184
23.336;2.5;4;165;21;28;3395;104;184
24.687;2.5;4;165;20;27;3495;104;184
26.66;3;6;212;19;26;3610;104;184
28.603;3;6;212;19;26;3630;104;184
23.022;2;4;227;20;27;3085;99;174
29.13;2.5;4;300;18;24;3263;100;174
22.304;2.5;4;165;21;28;3485;104;193
19.646;2.5;4;165;21;28;3090;99;175
21.773;2.5;4;165;21;28;3430;104;187
22.307;2.7;6;185;18;22;3682;110;187
16.949;2.5;6;165;19;22;3020;98;163
12.719;2.3;4;155;25;31;2676;98;171
14.317;2.3;4;155;25;31;2676;98;171
12.116;2;4;119;24;31;2701;102;177
15.378;2;4;119;22;30;2756;102;177
17.053;2.5;6;155;20;27;3380;106;188
16.291;2.3;4;155;24;29;2932;98;167
18.926;1.5;4;110;59;51;2890;106;175
31.827;4.7;8;240;14;17;5270;118;204
24.801;4;6;245;18;21;4035;110;189
24.915;3.3;6;230;18;24;3935;107;185
47.986;4.7;8;325;13;17;5390;112;193
18.553;2.4;4;161;22;27;3119;98;167
13.065;1.8;4;130;32;40;2502;102;178
13.65;1.8;4;130;32;40;2524;102;178
13.889;1.8;4;130;32;40;2524;102;178
10.144;1.5;4;108;35;43;2035;93;163
10.896;1.5;4;108;33;39;2085;93;163
10.642;1.5;4;108;35;43;2055;93;163
17.558;2.4;4;157;24;33;3086;107;189
20.325;3;6;210;21;29;3296;107;189
17.722;2.4;4;157;24;33;3175;107;193
19.819;3.3;6;225;20;29;3417;107;193
23.693;3;6;210;21;29;3417;107;192
23.125;3;6;210;21;29;3362;107;189
23.908;3.3;6;225;20;29;3439;107;193
27.271;3;6;210;21;29;3439;107;192
21.198;3.3;6;230;19;27;4120;119;200
25.69;3.3;6;230;19;27;4165;119;200
20.363;1.8;4;180;24;33;2500;102;171
22.787;1.8;4;138;26;32;2195;97;153
11.879;2.4;4;142;22;27;2750;103;191
14.978;3.4;6;190;16;18;3925;128;218
23.52;3.4;6;190;14;17;4435;128;218
15.156;1.8;4;130;29;36;2679;102;171
32.243;3.2;6;220;15;20;5086;112;187
17.478;2;4;115;24;31;2897;99;165
18.109;1.8;4;180;24;31;2934;99;168
19.638;1.9;4;100;38;46;3003;99;172
19.638;1.8;4;150;24;31;2820;99;161
21.686;2.8;6;200;21;30;3179;99;172
21.689;2;4;115;24;30;3082;99;161
21.898;1.8;4;170;22;31;3241;106;185
30.583;2.8;6;190;19;26;3721;106;185
36.052;4;8;270;18;25;3953;106;185
59.912;4.2;8;335;16;22;5194;118;204
69.13;6;12;420;12;19;5399;118;204
17.427;2;4;115;24;30;3034;99;174
22.801;1.8;4;170;22;31;3338;106;184
36.956;4;8;270;18;25;4067;106;184
38.851;2.9;6;268;15;20;4638;113;189
23.701;1.9;4;170;22;29;2767;101;178
29.916;2.5;5;208;20;27;3903;107;180
32.902;2.3;5;247;20;28;3766;107;180
35.382;2.5;5;300;18;25;3571;107;181
35.542;2.9;6;208;20;28;3576;110;190
35.688;2.5;5;194;20;27;3691;110;190
38.203;2.4;5;197;21;28;3450;105;186
40.083;2.3;5;242;20;26;3450;105;186
42.573;2.9;6;268;19;26;3653;110;190
24.641;1.9;4;170;22;29;2822;101;180
33.112;2.5;5;208;20;27;3823;109;186
